,source,target
0, te 1 1 p a, en 9  en 34  en 20  en 6 
1, te 1 1 p t, en 238  en 252  en 266  en 263 
2, te 1 1 p b, en 73  en 64  en 97  en 93 
3, te 1 1 p s, en 225  en 224  en 212  en 209 
4, te 1 1 p c, en 147  en 130  en 113  en 136 
5, te 1 1 p l, en 184  en 182  en 199  en 158 
6, te 1 1 p bk, en 59  en 61  en 46  en 40 
7, te 1 1 p cl, en 104  en 109  en 103  en 102 
8, te 1 2 p a, en 33  en 23  en 35  en 26 
9, te 1 2 p t, en 266  en 260  en 234  en 265 
10, te 1 2 p b, en 97  en 82  en 66  en 78 
11, te 1 2 p s, en 214  en 225  en 231  en 222 
12, te 1 2 p c, en 140  en 130  en 116  en 136 
13, te 1 2 p l, en 156  en 181  en 183  en 174 
14, te 1 2 p bk, en 36  en 201  en 39  en 202 
15, te 1 2 p cl, en 102  en 104  en 103  en 109 
16, te 1 3 p a, en 30  en 35  en 26  en 15  en 14 
17, te 1 3 p t, en 268  en 268  en 253  en 260 
18, te 1 3 p b, en 73  en 64  en 94  en 93 
19, te 1 3 p s, en 222  en 225  en 209  en 212 
20, te 1 3 p c, en 136  en 140  en 147  en 116 
21, te 1 3 p l, en 182  en 154  en 184  en 175 
22, te 1 3 p bk, en 205  en 204  en 203  en 52 
23, te 1 3 p cl, en 102  en 105  en 109  en 103 
24, te 2 1 p a, en 30  en 9  en 34  en 27 
25, te 2 1 p t, en 258  en 238  en 269  en 260 
26, te 2 1 p b, en 64  en 96  en 65  en 63 
27, te 2 1 p s, en 221  en 209  en 226  en 214 
28, te 2 1 p c, en 136  en 133  en 119  en 134 
29, te 2 1 p l, en 186  en 174  en 158  en 183 
30, te 2 1 p bk, en 56  en 61  en 37  en 48 
31, te 2 1 p cl, en 104  en 105  en 103  en 109 
32, te 2 2 p a, en 30  en 19  en 35  en 17 
33, te 2 2 p t, en 254  en 263  en 238  en 255 
34, te 2 2 p b, en 64  en 96  en 73  en 97 
35, te 2 2 p s, en 224  en 221  en 231  en 226 
36, te 2 2 p c, en 116  en 133  en 111  en 145 
37, te 2 2 p l, en 180  en 177  en 199  en 156 
38, te 2 2 p bk, en 39  en 202  en 57  en 201 
39, te 2 2 p cl, en 103  en 104  en 105  en 102 
40, te 2 3 p a, en 27  en 19  en 23  en 3  en 7 
41, te 2 3 p t, en 253  en 265  en 268  en 245 
42, te 2 3 p b, en 97  en 78  en 73  en 95 
43, te 2 3 p s, en 208  en 209  en 225  en 221 
44, te 2 3 p c, en 147  en 111  en 119  en 145 
45, te 2 3 p l, en 154  en 196  en 184  en 158 
46, te 2 3 p bk, en 53  en 204  en 52  en 46 
47, te 2 3 p cl, en 109  en 104  en 103  en 102 
48, te 3 1 p a, en 30  en 6  en 4  en 9 
49, te 3 1 p t, en 260  en 265  en 268  en 238 
50, te 3 1 p b, en 78  en 73  en 96  en 65 
51, te 3 1 p s, en 229  en 209  en 226  en 212 
52, te 3 1 p c, en 129  en 133  en 119  en 131  en 127 
53, te 3 1 p l, en 186  en 181  en 175  en 170 
54, te 3 1 p bk, en 203  en 61  en 40  en 37 
55, te 3 1 p cl, en 103  en 109  en 105  en 102 
56, te 3 2 p a, en 28  en 35  en 26  en 19 
57, te 3 2 p t, en 268  en 255  en 243  en 263 
58, te 3 2 p b, en 82  en 63  en 73  en 94 
59, te 3 2 p s, en 212  en 208  en 221  en 226 
60, te 3 2 p c, en 132  en 134  en 133  en 139  en 127 
61, te 3 2 p l, en 199  en 181  en 151  en 182 
62, te 3 2 p bk, en 204  en 202  en 47  en 57 
63, te 3 2 p cl, en 103  en 102  en 104  en 109 
64, te 3 3 p a, en 28  en 19  en 17  en 10  en 24 
