,source,target
0,Full Reverse Crunch,en 0
1,Incline Hip Thrust,en 1
2,Incline Reverse Crunch,en 2
3,Lying Hip Thrust,en 3
4,Reverse Crunch,en 4
5,Reverse Medicine Ball Crunch,en 5
6,Alternating Heel Touch,en 6
7,Bent Knee Medicine Ball Hip Rotation,en 7
8,Cable Chop,en 8
9,Cross Crunch,en 9
10,Cross Crunch   Medicine Ball,en 10
11,Decline Cross Sit Up,en 11
12,Decline Sit Up   Twist,en 12
13,Reverse Cable Chop,en 13
14,Seated Medicine Ball Twist,en 14
15,Trunk Rotator,en 15
16,Front Plank (from knees),en 16
17,Front Plank (from toes),en 17
18,Front Plank (tripod   1 arm and 2 legs or 2 legs and 1 arm),en 18
19,Side Plank (from knees),en 19
20,Side Plank (hip lift),en 20
21,Side Plank (from toes),en 21
22,Ab Cycle,en 22
23,Kneeling Ab Rollout,en 23
24,Medicine Ball V Up,en 24
25,V Up,en 25
26,Weighted V Up,en 26
27,Bent Knee Sit Up,en 27
28,Bent Knee Crunch,en 28
29,Crunch,en 30
30,Crunch,en 30
31,Decline Crunch,en 31
32,Decline Sit Up,en 32
33,Heel Touch,en 33
34,Sit Up,en 34
35,Weighted Crunch,en 35
36,Assisted Pull Up,en 36
37,Close Grip Lat Pulldown,en 37
38,Inverted Pull Up,en 38
39,Lat Pulldown,en 39
40,Pull Up,en 40
41,Reverse Grip Lat Pullown,en 41
42,Reverse Grip Pull Up,en 42
43,V Bar Pull Up,en 43
44,Wide Grip Lat Pulldown,en 44
45,Bent Over Alternating Dumbbell Row,en 45
46,Bent Over Barbell Row,en 46
47,Bent Over Dumbbell Row,en 47
48,Bent Over Hammer Dumbbell Row,en 48
49,Bent Over Long Barbell Row,en 49
50,Bent Over Reverse Grip Barbell Row,en 50
51,Bent Over Single Arm Long Barbell Row,en 51
52,Machine Row,en 52
53,One Arm Dumbbell Row,en 53
54,Reverse Incline Dumbbell Row,en 54
55,Rope Cable Row,en 55
56,Seated Cable Row,en 56
57,Seated Row,en 57
58,Single Arm Cable Row,en 58
59,Single Arm Dumbbell Row,en 59
60,Single Arm Lat Pulldown,en 60
61,Standing Cable Row,en 61
62,Standing Single Arm Cable Row,en 62
63,Alternating Dumbbell Curl,en 63
64,Alternating Hammer Curl,en 64
65,Barbell Curl,en 65
66,Bicep Curl,en 66
67,Bottom/Top/Full Curls,en 67
68,Cable Curl,en 68
69,Concentration Dumbbell Curl,en 69
70,Cross Body Hammer Curl,en 70
71,Dumbbell Curl,en 71
