,ID,exerciseCategory,exerciseName,level,type,direction,modality,joint
0,,abdominals,Full Reverse Crunch,Advanced,Core,Push,FW,M
1,,abdominals,Incline Hip Thrust,Advanced,Core,Push,FW,M
2,,abdominals,Incline Reverse Crunch,Advanced,Core,Push,FW,M
3,,abdominals,Lying Hip Thrust,Advanced,Core,Push,FW,M
4,,abdominals,Reverse Crunch,Beginner,Core,Push,FW,M
5,,abdominals,Reverse Medicine Ball Crunch,Advanced,Core,Push,FW,M
6,,abdominals,Alternating Heel Touch,Beginner,Core,Push,FW,M
7,,abdominals,Bent Knee Medicine Ball Hip Rotation,Advanced,Core,Push,FW,M
8,,abdominals,Cable Chop,Advanced,Core,Push,C,M
9,,abdominals,Cross Crunch,Beginner,Core,Push,FW,M
10,,abdominals,Cross Crunch   Medicine Ball,Advanced,Core,Push,FW,M
11,,abdominals,Decline Cross Sit Up,Advanced,Core,Push,FW,M
12,,abdominals,Decline Sit Up   Twist,Advanced,Core,Push,FW,M
13,,abdominals,Reverse Cable Chop,Advanced,Core,Push,C,M
14,,abdominals,Seated Medicine Ball Twist,Advanced,Core,Push,FW,M
15,,abdominals,Trunk Rotator,Advanced,Core,Push,FW,M
16,,abdominals,Front Plank (from knees),Beginner,Core,Static,FW,M
17,,abdominals,Front Plank (from toes),Intermediate,Core,Static,FW,M
18,,abdominals,Front Plank (tripod   1 arm and 2 legs or 2 legs and 1 arm),Advanced,Core,Static,FW,M
19,,abdominals,Side Plank (from knees),Intermediate,Core,Static,FW,M
20,,abdominals,Side Plank (hip lift),Beginner,Core,Static,FW,M
21,,abdominals,Side Plank (from toes),Advanced,Core,Static,FW,M
22,,abdominals,Ab Cycle,Advanced,Core,Push,FW,M
23,,abdominals,Kneeling Ab Rollout,Intermediate,Core,Push,FW,M
24,,abdominals,Medicine Ball V Up,Advanced,Core,Push,FW,M
25,,abdominals,V Up,Beginner,Core,Push,FW,M
26,,abdominals,Weighted V Up,Intermediate,Core,Push,FW,M
27,,abdominals,Bent Knee Sit Up,Beginner,Core,Push,FW,M
28,,abdominals,Bent Knee Crunch,Beginner,Core,Push,FW,M
29,,abdominals,Crunch,Beginner,Core,Push,FW,M
30,,abdominals,Crunch,Beginner,Core,Push,FW,M
31,,abdominals,Decline Crunch,Advanced,Core,Push,FW,M
32,,abdominals,Decline Sit Up,Advanced,Core,Push,FW,M
33,,abdominals,Heel Touch,Beginner,Core,Push,FW,M
34,,abdominals,Sit Up,Beginner,Core,Push,FW,M
35,,abdominals,Weighted Crunch,Intermediate,Core,Push,FW,M
