,ID,exerciseCategory,exerciseName,level,type,direction,modality,joint
0,,ec 0,en 0,Advanced,Core,Push,FW,M
1,,ec 1,en 1,Advanced,Core,Push,FW,M
2,,ec 2,en 2,Advanced,Core,Push,FW,M
3,,ec 3,en 3,Advanced,Core,Push,FW,M
4,,ec 4,en 4,Beginner,Core,Push,FW,M
5,,ec 5,en 5,Advanced,Core,Push,FW,M
6,,ec 6,en 6,Beginner,Core,Push,FW,M
7,,ec 7,en 7,Advanced,Core,Push,FW,M
8,,ec 8,en 8,Advanced,Core,Push,C,M
9,,ec 9,en 9,Beginner,Core,Push,FW,M
10,,ec 10,en 10,Advanced,Core,Push,FW,M
11,,ec 11,en 11,Advanced,Core,Push,FW,M
12,,ec 12,en 12,Advanced,Core,Push,FW,M
13,,ec 13,en 13,Advanced,Core,Push,C,M
14,,ec 14,en 14,Advanced,Core,Push,FW,M
15,,ec 15,en 15,Advanced,Core,Push,FW,M
16,,ec 16,en 16,Beginner,Core,Static,FW,M
17,,ec 17,en 17,Intermediate,Core,Static,FW,M
18,,ec 18,en 18,Advanced,Core,Static,FW,M
19,,ec 19,en 19,Intermediate,Core,Static,FW,M
20,,ec 20,en 20,Beginner,Core,Static,FW,M
21,,ec 21,en 21,Advanced,Core,Static,FW,M
22,,ec 22,en 22,Advanced,Core,Push,FW,M
23,,ec 23,en 23,Intermediate,Core,Push,FW,M
24,,ec 24,en 24,Advanced,Core,Push,FW,M
25,,ec 25,en 25,Beginner,Core,Push,FW,M
26,,ec 26,en 26,Intermediate,Core,Push,FW,M
27,,ec 27,en 27,Beginner,Core,Push,FW,M
28,,ec 28,en 28,Beginner,Core,Push,FW,M
29,,ec 29,en 29,Beginner,Core,Push,FW,M
30,,ec 30,en 30,Beginner,Core,Push,FW,M
31,,ec 31,en 31,Advanced,Core,Push,FW,M
32,,ec 32,en 32,Advanced,Core,Push,FW,M
33,,ec 33,en 33,Beginner,Core,Push,FW,M
34,,ec 34,en 34,Beginner,Core,Push,FW,M
35,,ec 35,en 35,Intermediate,Core,Push,FW,M
36,,ec 36,en 36,Beginner,Upper,Pull,FW,M
37,,ec 37,en 37,Beginner,Upper,Pull,M,M
38,,ec 38,en 38,Advanced,Upper,Pull,FW,M
39,,ec 39,en 39,Beginner,Upper,Pull,C,M
40,,ec 40,en 40,Beginner,Upper,Pull,FW,M
41,,ec 41,en 41,Intermediate,Upper,Pull,C,M
42,,ec 42,en 42,Advanced,Upper,Pull,FW,M
43,,ec 43,en 43,Advanced,Upper,Pull,FW,M
44,,ec 44,en 44,Beginner,Upper,Pull,C,M
45,,ec 45,en 45,Intermediate,Upper,Pull,FW,M
46,,ec 46,en 46,Beginner,Upper,Pull,FW,M
47,,ec 47,en 47,Beginner,Upper,Pull,FW,M
48,,ec 48,en 48,Beginner,Upper,Pull,FW,M
