,source,target
0, 1 1 1 1 1 p a, en 33 en 27 en 30 en 16
1, 1 1 1 1 1 p t, en 255 en 245 en 260 en 268
2, 1 1 1 1 1 p b, en 96 en 65 en 95 en 63
3, 1 1 1 1 1 p s, en 224 en 212 en 214 en 208
4, 1 1 1 1 1 p c, en 116 en 129 en 132 en 140
5, 1 1 1 1 1 p l, en 182 en 183 en 156 en 181
6, 1 1 1 1 1 p bk, en 46 en 203 en 37 en 59
7, 1 1 1 1 1 p cl, en 105 en 104 en 102 en 109
8, 1 1 1 1 2 p a, en 27 en 20 en 28 en 6
9, 1 1 1 1 2 p t, en 245 en 234 en 260 en 266
10, 1 1 1 1 2 p b, en 71 en 94 en 97 en 66
11, 1 1 1 1 2 p s, en 226 en 219 en 210 en 220
12, 1 1 1 1 2 p c, en 129 en 146 en 117 en 130
13, 1 1 1 1 2 p l, en 184 en 186 en 175 en 154
14, 1 1 1 1 2 p bk, en 47 en 203 en 37 en 61
15, 1 1 1 1 2 p cl, en 102 en 103 en 104 en 109
16, 1 1 1 1 3 p a, en 4 en 33 en 28 en 16
17, 1 1 1 1 3 p t, en 243 en 245 en 234 en 268
18, 1 1 1 1 3 p b, en 97 en 71 en 63 en 78
19, 1 1 1 1 3 p s, en 212 en 213 en 211 en 217 en 228
20, 1 1 1 1 3 p c, en 140 en 132 en 117 en 146
21, 1 1 1 1 3 p l, en 175 en 154 en 158 en 177
22, 1 1 1 1 3 p bk, en 44 en 205 en 59 en 201
23, 1 1 1 1 3 p cl, en 102 en 103 en 104 en 105
24, 1 1 1 2 1 p a, en 33 en 20 en 28 en 4
25, 1 1 1 2 1 p t, en 269 en 265 en 268 en 238
26, 1 1 1 2 1 p b, en 97 en 71 en 73 en 65
27, 1 1 1 2 1 p s, en 214 en 229 en 222 en 224
28, 1 1 1 2 1 p c, en 129 en 128 en 113 en 136
29, 1 1 1 2 1 p l, en 183 en 198 en 162 en 149
30, 1 1 1 2 1 p bk, en 36 en 202 en 203 en 40
31, 1 1 1 2 1 p cl, en 105 en 110 en 108 en 108
32, 1 1 1 2 2 p a, en 9 en 16 en 28 en 20
33, 1 1 1 2 2 p t, en 234 en 253 en 268 en 266
34, 1 1 1 2 2 p b, en 66 en 99 en 71 en 94
35, 1 1 1 2 2 p s, en 209 en 206 en 219 en 213
36, 1 1 1 2 2 p c, en 129 en 140 en 147 en 136
37, 1 1 1 2 2 p l, en 158 en 197 en 193 en 168
38, 1 1 1 2 2 p bk, en 204 en 44 en 37 en 36
39, 1 1 1 2 2 p cl, en 104 en 110 en 108 en 108
40, 1 1 1 2 3 p a, en 30 en 4 en 28 en 30
41, 1 1 1 2 3 p t, en 268 en 258 en 243 en 260
42, 1 1 1 2 3 p b, en 73 en 71 en 66 en 64
43, 1 1 1 2 3 p s, en 231 en 216 en 219 en 207 en 217
44, 1 1 1 2 3 p c, en 147 en 135 en 146 en 136
45, 1 1 1 2 3 p l, en 177 en 171 en 192 en 161
46, 1 1 1 2 3 p bk, en 56 en 59 en 46 en 205
47, 1 1 1 2 3 p cl, en 109 en 110 en 108 en 108
48, 1 1 1 3 1 p a, en 16 en 25 en 9 en 30
49, 1 1 1 3 1 p t, en 234 en 252 en 260 en 268
50, 1 1 1 3 1 p b, en 94 en 93 en 96 en 99
51, 1 1 1 3 1 p s, en 212 en 222 en 221 en 224
52, 1 1 1 3 1 p c, en 135 en 140 en 132 en 146
53, 1 1 1 3 1 p l, en 177 en 194 en 162 en 153 en 173
54, 1 1 1 3 1 p bk, en 37 en 204 en 52 en 44
55, 1 1 1 3 1 p cl, en 102 en 110 en 108 en 106 en 101
56, 1 1 1 3 2 p a, en 30 en 20 en 4 en 30
57, 1 1 1 3 2 p t, en 266 en 263 en 269 en 243
58, 1 1 1 3 2 p b, en 73 en 96 en 63 en 64
59, 1 1 1 3 2 p s, en 226 en 206 en 216 en 219
60, 1 1 1 3 2 p c, en 113 en 136 en 147 en 129
61, 1 1 1 3 2 p l, en 175 en 171 en 162 en 176 en 164
62, 1 1 1 3 2 p bk, en 52 en 46 en 53 en 37
63, 1 1 1 3 2 p cl, en 102 en 110 en 108 en 101 en 106
64, 1 1 1 3 3 p a, en 33 en 30 en 28 en 20
65, 1 1 1 3 3 p t, en 263 en 269 en 268 en 252
66, 1 1 1 3 3 p b, en 63 en 71 en 97 en 96
67, 1 1 1 3 3 p s, en 225 en 219 en 206 en 228 en 207
68, 1 1 1 3 3 p c, en 146 en 147 en 130 en 128
69, 1 1 1 3 3 p l, en 186 en 161 en 168 en 166 en 169
70, 1 1 1 3 3 p bk, en 39 en 48 en 202 en 57
71, 1 1 1 3 3 p cl, en 105 en 110 en 108 en 107 en 106
72, 1 1 2 1 1 p a, en 33 en 28 en 4 en 20
73, 1 1 2 1 1 p t, en 252 en 243 en 263 en 266
74, 1 1 2 1 1 p b, en 73 en 65 en 82 en 78
75, 1 1 2 1 1 p s, en 209 en 208 en 214 en 224
76, 1 1 2 1 1 p c, en 146 en 132 en 129 en 113
77, 1 1 2 1 1 p l, en 177 en 196 en 165 en 181
78, 1 1 2 1 1 p bk, en 59 en 58 en 60 en 55
79, 1 1 2 1 1 p cl, en 104 en 105 en 109 en 102
80, 1 1 2 1 2 p a, en 34 en 30 en 25 en 28
81, 1 1 2 1 2 p t, en 260 en 268 en 263 en 254
82, 1 1 2 1 2 p b, en 71 en 97 en 65 en 64
83, 1 1 2 1 2 p s, en 222 en 230 en 216 en 220
84, 1 1 2 1 2 p c, en 130 en 113 en 136 en 140
85, 1 1 2 1 2 p l, en 156 en 165 en 154 en 151
86, 1 1 2 1 2 p bk, en 59 en 45 en 41 en 60
87, 1 1 2 1 2 p cl, en 104 en 102 en 103 en 105
88, 1 1 2 1 3 p a, en 28 en 16 en 33 en 30
89, 1 1 2 1 3 p t, en 245 en 252 en 254 en 269
90, 1 1 2 1 3 p b, en 73 en 96 en 78 en 82
91, 1 1 2 1 3 p s, en 229 en 219 en 218 en 217 en 228
92, 1 1 2 1 3 p c, en 129 en 117 en 146 en 147
93, 1 1 2 1 3 p l, en 182 en 181 en 184 en 170
94, 1 1 2 1 3 p bk, en 47 en 58 en 60 en 49
95, 1 1 2 1 3 p cl, en 104 en 102 en 103 en 105
96, 1 1 2 2 1 p a, en 28 en 30 en 33 en 27
97, 1 1 2 2 1 p t, en 252 en 268 en 258 en 254
98, 1 1 2 2 1 p b, en 99 en 63 en 95 en 73
99, 1 1 2 2 1 p s, en 229 en 225 en 209 en 224
100, 1 1 2 2 1 p c, en 117 en 132 en 116 en 136
101, 1 1 2 2 1 p l, en 177 en 157 en 193 en 200
102, 1 1 2 2 1 p bk, en 48 en 58 en 60 en 45
103, 1 1 2 2 1 p cl, en 109 en 110 en 108 en 108
104, 1 1 2 2 2 p a, en 30 en 25 en 6 en 28
105, 1 1 2 2 2 p t, en 269 en 254 en 258 en 245
106, 1 1 2 2 2 p b, en 65 en 99 en 63 en 71
