Category,Description,Carbohydrate,Cholesterol,Fiber,Kilocalories,Protein,RefusePercentage,SugarTotal,HouseholdWeights.1stHouseholdWeight,HouseholdWeights.2ndHouseholdWeight,fat
CHEESE,"CHEESE,CHEDDAR",1.28,105.0,0.0,403.0,24.9,0.0,0.519999981,132.0,244.0,31.425
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",4.68,5.0,0.0,178.0,3.25,0.0,4.679999828,235.0,12.0,15.698
DESSERT TOPPING,"DESSERT TOPPING,POWDERED",52.54,0.0,0.0,577.0,4.9,0.0,52.54000092,42.5,1.0,37.77
SOUR CRM,"SOUR CRM,IMITN,CULTURED",6.63,0.0,0.0,208.0,2.4,0.0,6.630000114,230.0,28.0,18.435
MILK,"MILK,INDIAN BUFFALO,FLUID",5.18,19.0,0.0,97.0,3.75,0.0,0.0,244.0,976.0,6.5299999999999985
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.66,13.0,0.0,61.0,3.47,0.0,4.659999847,245.0,227.0,3.0810000000000004
EGG,"EGG,WHOLE,RAW,FRESH",0.77,423.0,0.0,143.0,12.58,12.0,0.7699999809999999,243.0,56.0,8.273
BUTTER,"BUTTER,WITHOUT SALT",0.06,215.0,0.0,717.0,0.85,0.0,0.05999999900000001,227.0,14.0,75.432
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",40.0,20.0,0.0,370.0,40.0,0.0,1.5,0.0,0.0,4.742
ALLSPICE,"ALLSPICE,GROUND",72.12,0.0,21.60000038,263.0,6.09,0.0,0.0,6.0,2.0,5.57
SPICES,"SPICES,BASIL,DRIED",60.96,0.0,40.5,251.0,14.37,0.0,1.7100000380000002,0.7,2.0,2.861
CHERVIL,"CHERVIL,DRIED",49.1,0.0,11.30000019,237.0,23.2,0.0,0.0,1.9,1.0,3.3680000000000003
CINNAMON,"CINNAMON,GROUND",80.59,0.0,53.09999847,247.0,3.99,0.0,2.170000076,7.85,3.0,0.659
CLOVES,"CLOVES,GROUND",61.21,0.0,34.20000076,323.0,5.98,0.0,2.380000114,6.6,2.0,13.997
CORIANDER LEAF,"CORIANDER LEAF,DRIED",52.1,0.0,10.39999962,279.0,21.93,0.0,7.2699999810000016,1.8,1.0,2.675
DILL WEED,"DILL WEED,DRIED",55.82,0.0,13.60000038,253.0,19.96,0.0,0.0,3.1,1.0,0.234
GINGER,"GINGER,GROUND",70.79,0.0,12.5,347.0,9.12,0.0,3.390000105,5.4,2.0,4.25
MACE,"MACE,GROUND",50.5,0.0,20.20000076,475.0,6.71,0.0,0.0,5.3,2.0,25.07
MARJORAM,"MARJORAM,DRIED",60.56,0.0,40.29999924,271.0,12.66,0.0,4.090000153,1.7,1.0,5.8740000000000006
MUSTARD SEED,"MUSTARD SEED,YELLOW",34.94,0.0,14.69999981,469.0,24.94,0.0,6.789999962,11.2,3.0,26.68
NUTMEG,"NUTMEG,GROUND",49.29,0.0,20.79999924,525.0,5.84,0.0,28.48999977,7.0,2.0,29.51
PEPPER,"PEPPER,BLACK",64.81,0.0,26.5,255.0,10.95,0.0,0.639999986,6.4,2.0,3.12
ROSEMARY,"ROSEMARY,DRIED",64.06,0.0,42.59999847,331.0,4.88,0.0,0.0,3.3,1.0,12.724
SAGE,"SAGE,GROUND",60.73,0.0,40.29999924,315.0,10.63,0.0,1.7100000380000002,2.0,1.0,10.66
SAVORY,"SAVORY,GROUND",68.73,0.0,45.70000076,272.0,6.73,0.0,0.0,4.4,1.0,3.26
TURMERIC,"TURMERIC,GROUND",64.93,0.0,21.10000038,354.0,7.83,0.0,3.210000038,6.8,2.0,6.96
BASIL,"BASIL,FRESH",2.65,0.0,1.600000024,23.0,3.15,36.0,0.300000012,5.3,2.0,0.518
DILL WEED,"DILL WEED,FRSH",7.02,0.0,2.099999905,43.0,3.46,41.0,0.0,8.9,1.0,0.957
MUSTARD,"MUSTARD,PREPARED,YELLOW",5.33,0.0,3.299999952,67.0,4.37,0.0,0.860000014,5.0,249.0,3.829
SALT,"SALT,TABLE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,18.0,0.0
VINEGAR,"VINEGAR,CIDER",0.93,0.0,0.0,21.0,0.0,0.0,0.400000006,239.0,15.0,0.0
THYME,"THYME,FRSH",24.45,0.0,14.0,101.0,5.56,32.0,0.0,0.8,0.0,1.08
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.4,0.0,0.0,56.0,0.03,0.0,14.39999962,13.0,4.0,0.0
CAPERS,"CAPERS,CANNED",4.89,0.0,3.200000048,23.0,2.36,0.0,0.409999996,8.6,0.0,0.6
HORSERADISH,"HORSERADISH,PREPARED",11.29,0.0,3.299999952,48.0,1.18,0.0,7.989999771,15.0,5.0,0.5589999999999999
ROSEMARY,"ROSEMARY,FRESH",20.7,0.0,14.10000038,131.0,3.31,35.0,0.0,1.7,1.0,4.899
SPEARMINT,"SPEARMINT,FRESH",8.41,0.0,6.8000001910000005,44.0,3.29,59.0,0.0,11.4,0.0,0.61
BABYFOOD,"BABYFOOD,MEAT,BF,STR",2.43,51.0,0.0,81.0,12.03,0.0,0.0,14.66,28.0,2.29
SANDWICH SPRD,"SANDWICH SPRD,W/CHOPD PICKLE,REG,UNSPEC OILS",22.4,76.0,0.400000006,389.0,0.9,0.0,15.18000031,15.3,245.0,32.5
OIL,"OIL,SOYBN,SALAD OR COOKING,(PARTIALLY HYDROGENATED)",0.0,0.0,0.0,884.0,0.0,0.0,0.0,218.0,14.0,95.5
MARGARINE,"MARGARINE,REG,LIQ,SOYBN (HYDR&REG)&CTTNSD",0.0,0.0,0.0,721.0,1.9,0.0,0.0,227.0,14.0,77.1
MEAT DRIPPINGS (LARD,"MEAT DRIPPINGS (LARD,BF TALLOW,MUTTON TALLOW)",0.0,101.0,0.0,889.0,0.0,0.0,0.0,0.0,0.0,94.12
CHICKEN,"CHICKEN,BROILERS OR FRYERS,MEAT & SKN,RAW",0.0,75.0,0.0,215.0,18.6,32.0,0.0,276.0,460.0,13.78
DUCK,"DUCK,DOMESTICATED,MEAT ONLY,RAW",0.0,77.0,0.0,132.0,18.28,66.0,0.0,137.0,303.0,4.6099999999999985
GOOSE,"GOOSE,DOMESTICATED,MEAT ONLY,RAW",0.0,84.0,0.0,161.0,22.75,53.0,0.0,185.0,766.0,5.54
GUINEA HEN,"GUINEA HEN,MEAT ONLY,RAW",0.0,63.0,0.0,110.0,20.64,36.0,0.0,275.0,264.0,1.91
PHEASANT,"PHEASANT,RAW,MEAT ONLY",0.0,66.0,0.0,133.0,23.57,24.0,0.0,326.0,352.0,3.03
QUAIL,"QUAIL,MEAT ONLY,RAW",0.0,70.0,0.0,134.0,21.76,24.0,0.0,92.0,342.0,3.770000000000002
SQUAB,"SQUAB,(PIGEON),MEAT ONLY,RAW",0.0,90.0,0.0,142.0,17.5,35.0,0.0,251.0,168.0,6.22
POULTRY,"POULTRY,MECHANICALLY DEBONED,FROM MATURE HENS,RAW",0.0,143.0,0.0,243.0,14.72,0.0,0.0,227.0,0.0,18.58
CHICK,"CHICK,FEET,BOILED",0.2,84.0,0.0,215.0,19.4,0.0,0.0,0.0,0.0,12.4
EMU,"EMU,GROUND,RAW",0.0,69.0,0.0,134.0,22.77,0.0,0.0,116.99,0.0,3.1860000000000004
OSTRICH,"OSTRICH,GROUND,RAW",0.0,71.0,0.0,165.0,20.22,0.0,0.0,108.79,435.0,5.7410000000000005
SOUP,"SOUP,CRM OF ASPARAGUS,CND,COND",8.52,4.0,0.400000006,69.0,1.82,0.0,0.720000029,125.5,305.0,3.03
GRAVY,"GRAVY,BF,CND,RTS",4.81,3.0,0.400000006,53.0,3.75,0.0,0.209999993,233.0,291.0,2.1950000000000003
SAUCE,"SAUCE,HOMEMADE,WHITE,MED",9.17,7.0,0.200000003,147.0,3.84,0.0,4.360000134,250.0,125.0,10.136000000000001
CAMPBEL COMPANY,"CAMPBEL COMPANY,PREGO PASTA,ZESTY MUSHROOM ITALIAN SAU,RTS",13.85,0.0,2.299999952,85.0,1.54,0.0,9.229999542,130.0,0.0,0.769
GRY,"GRY, HNZ Home style beef gravy",6.24,2.0,0.699999988,39.0,1.09,0.0,0.519999981,56.7,0.0,0.8780000000000001
BARBECUE LOAF,"BARBECUE LOAF,PORK,BEEF",6.4,37.0,0.0,173.0,15.84,0.0,0.0,28.35,23.0,8.12
CHORIZO,"CHORIZO,PORK AND BEEF",1.86,88.0,0.0,455.0,24.1,0.0,0.0,28.35,60.0,36.24
DUTCH BRAND LOAF,"DUTCH BRAND LOAF,CHICK,PORK & BF",3.93,60.0,0.300000012,273.0,12.0,0.0,0.8999999759999999,38.0,0.0,23.529
LUNCHEON MEAT,"LUNCHEON MEAT,BEEF,LOAVED",2.9,64.0,0.0,308.0,14.4,0.0,0.0,28.35,57.0,24.28
PASTRAMI,"PASTRAMI,TURKEY",1.79,68.0,0.100000001,133.0,16.3,0.0,3.339999914,227.0,57.0,5.465
