Category,Description,Carbohydrate,Cholesterol,Fiber,Kilocalories,Protein,RefusePercentage,SugarTotal,HouseholdWeights.1stHouseholdWeight,HouseholdWeights.2ndHouseholdWeight,fat
CHEESE,"CHEESE,CHEDDAR",1.28,105.0,0.0,403.0,24.9,0.0,0.519999981,132.0,244.0,31.424999999999997
SOUR DRSNG,"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",4.68,5.0,0.0,178.0,3.25,0.0,4.679999828,235.0,12.0,15.698
SOUR CRM,"SOUR CRM,IMITN,CULTURED",6.63,0.0,0.0,208.0,2.4,0.0,6.6300001139999996,230.0,28.0,18.435
MILK,"MILK,INDIAN BUFFALO,FLUID",5.18,19.0,0.0,97.0,3.75,0.0,0.0,244.0,976.0,6.529999999999999
YOGURT,"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",4.66,13.0,0.0,61.0,3.47,0.0,4.659999847,245.0,227.0,3.081
EGG,"EGG,WHOLE,RAW,FRESH",0.77,423.0,0.0,143.0,12.58,12.0,0.7699999809999999,243.0,56.0,8.273
EGG,"EGG,WHITE,RAW,FRESH",0.73,0.0,0.0,48.0,10.9,0.0,0.7099999790000001,243.0,33.0,0.0
EGG,"EGG,YOLK,RAW,FRSH",3.59,1234.0,0.0,317.0,15.86,0.0,0.560000002,243.0,17.0,25.493000000000002
BUTTER,"BUTTER,WITHOUT SALT",0.06,215.0,0.0,717.0,0.85,0.0,0.059999999000000005,227.0,14.0,75.432
USDA COMMODITY,"USDA COMMODITY,CHS,CHEDDAR,RED FAT",2.0,56.0,0.0,282.0,27.2,0.0,0.579999983,0.0,0.0,17.369999999999997
PARMESAN CHS TOPPING,"PARMESAN CHS TOPPING,FAT FREE",40.0,20.0,0.0,370.0,40.0,0.0,1.5,0.0,0.0,4.742
ALLSPICE,"ALLSPICE,GROUND",72.12,0.0,21.60000038,263.0,6.09,0.0,0.0,6.0,2.0,5.57
SPICES,"SPICES,BASIL,DRIED",60.96,0.0,40.5,251.0,14.37,0.0,1.7100000380000002,0.7,2.0,2.8609999999999998
SPICES,"SPICES,BAY LEAF",74.97,0.0,26.29999924,313.0,7.61,0.0,0.0,1.8,1.0,6.209999999999999
SPICES,"SPICES,CARDAMOM",68.47,0.0,28.0,311.0,10.76,0.0,0.0,5.8,2.0,1.98
CHERVIL,"CHERVIL,DRIED",49.1,0.0,11.30000019,237.0,23.2,0.0,0.0,1.9,1.0,3.368
CINNAMON,"CINNAMON,GROUND",80.59,0.0,53.09999847,247.0,3.99,0.0,2.170000076,7.85,3.0,0.659
CLOVES,"CLOVES,GROUND",61.21,0.0,34.20000076,323.0,5.98,0.0,2.380000114,6.6,2.0,13.997
CORIANDER LEAF,"CORIANDER LEAF,DRIED",52.1,0.0,10.39999962,279.0,21.93,0.0,7.269999981000001,1.8,1.0,2.675
DILL WEED,"DILL WEED,DRIED",55.82,0.0,13.60000038,253.0,19.96,0.0,0.0,3.1,1.0,0.23399999999999999
GINGER,"GINGER,GROUND",70.79,0.0,12.5,347.0,9.12,0.0,3.390000105,5.4,2.0,4.25
MACE,"MACE,GROUND",50.5,0.0,20.20000076,475.0,6.71,0.0,0.0,5.3,2.0,25.07
MARJORAM,"MARJORAM,DRIED",60.56,0.0,40.29999924,271.0,12.66,0.0,4.090000153,1.7,1.0,5.8740000000000006
MUSTARD SEED,"MUSTARD SEED,YELLOW",34.94,0.0,14.69999981,469.0,24.94,0.0,6.7899999620000004,11.2,3.0,26.68
NUTMEG,"NUTMEG,GROUND",49.29,0.0,20.79999924,525.0,5.84,0.0,28.48999977,7.0,2.0,29.51
SPICES,"SPICES,OREGANO,DRIED",64.43,0.0,42.79999924,306.0,11.0,0.0,4.090000153,1.0,2.0,8.56
PARSLEY,"PARSLEY,DRIED",51.66,0.0,30.39999962,276.0,22.42,0.0,7.269999981000001,0.48,2.0,3.8200000000000003
PEPPER,"PEPPER,BLACK",64.81,0.0,26.5,255.0,10.95,0.0,0.639999986,6.4,2.0,3.1199999999999997
PEPPER,"PEPPER,RED OR CAYENNE",56.63,0.0,27.20000076,318.0,12.01,0.0,10.34000015,5.3,2.0,14.379999999999999
PEPPER,"PEPPER,WHITE",68.61,0.0,26.20000076,296.0,10.4,0.0,0.0,7.1,2.0,2.031
ROSEMARY,"ROSEMARY,DRIED",64.06,0.0,42.59999847,331.0,4.88,0.0,0.0,3.3,1.0,12.724
SAGE,"SAGE,GROUND",60.73,0.0,40.29999924,315.0,10.63,0.0,1.7100000380000002,2.0,1.0,10.66
SAVORY,"SAVORY,GROUND",68.73,0.0,45.70000076,272.0,6.73,0.0,0.0,4.4,1.0,3.26
SPICES,"SPICES,TARRAGON,DRIED",50.22,0.0,7.400000095,295.0,22.77,0.0,0.0,0.6,2.0,6.053
SPICES,"SPICES,THYME,DRIED",63.94,0.0,37.0,276.0,9.11,0.0,1.7100000380000002,1.0,3.0,4.39
TURMERIC,"TURMERIC,GROUND",64.93,0.0,21.10000038,354.0,7.83,0.0,3.210000038,6.8,2.0,6.96
BASIL,"BASIL,FRESH",2.65,0.0,1.600000024,23.0,3.15,36.0,0.300000012,5.3,2.0,0.518
DILL WEED,"DILL WEED,FRSH",7.02,0.0,2.099999905,43.0,3.46,41.0,0.0,8.9,1.0,0.9570000000000001
MUSTARD,"MUSTARD,PREPARED,YELLOW",5.33,0.0,3.299999952,67.0,4.37,0.0,0.860000014,5.0,249.0,3.8289999999999997
SALT,"SALT,TABLE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,18.0,0.0
VINEGAR,"VINEGAR,CIDER",0.93,0.0,0.0,21.0,0.0,0.0,0.400000006,239.0,15.0,0.0
THYME,"THYME,FRSH",24.45,0.0,14.0,101.0,5.56,32.0,0.0,0.8,0.0,1.08
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,ALCOHOL",2.41,0.0,0.0,237.0,0.05,0.0,0.0,13.0,4.0,0.0
VANILLA EXTRACT,"VANILLA EXTRACT,IMITN,NO ALCOHOL",14.4,0.0,0.0,56.0,0.03,0.0,14.39999962,13.0,4.0,0.0
VINEGAR,"VINEGAR,DISTILLED",0.04,0.0,0.0,18.0,0.0,0.0,0.039999999,238.2,15.0,0.0
CAPERS,"CAPERS,CANNED",4.89,0.0,3.200000048,23.0,2.36,0.0,0.40999999600000003,8.6,0.0,0.6
HORSERADISH,"HORSERADISH,PREPARED",11.29,0.0,3.299999952,48.0,1.18,0.0,7.989999771,15.0,5.0,0.5589999999999999
ROSEMARY,"ROSEMARY,FRESH",20.7,0.0,14.10000038,131.0,3.31,35.0,0.0,1.7,1.0,4.899
PEPPERMINT,"PEPPERMINT,FRESH",14.89,0.0,8.0,70.0,3.75,39.0,0.0,3.2,0.0,0.787
SPEARMINT,"SPEARMINT,FRESH",8.41,0.0,6.8000001910000005,44.0,3.29,59.0,0.0,11.4,0.0,0.61
SPEARMINT,"SPEARMINT,DRIED",52.04,0.0,29.79999924,285.0,19.93,0.0,0.0,1.6,0.0,5.044
VINEGAR,"VINEGAR,RED WINE",0.27,0.0,0.0,19.0,0.04,0.0,0.0,239.0,15.0,0.0
VINEGAR,"VINEGAR,BALSAMIC",17.03,0.0,0.0,88.0,0.49,0.0,14.94999981,255.0,16.0,0.0
CAMPBELL SOUP CO,"CAMPBELL SOUP CO,PACE,DRY TACO SEAS MIX",56.29,0.0,18.79999924,188.0,0.0,0.0,18.76000023,5.33,5.0,0.0
BABYFOOD,"BABYFOOD,MEAT,BF,STR",2.43,51.0,0.0,81.0,12.03,0.0,0.0,14.66,28.0,2.29
BABYFOOD,"BABYFOOD,MEAT,BF,STR",2.43,51.0,0.0,81.0,12.03,0.0,0.0,28.35,15.0,2.29
BABYFOOD,"BABYFOOD,MEAT,VEAL,STR",1.51,33.0,0.0,81.0,13.12,0.0,0.0,16.16,28.0,2.274
BABYFOOD,"BABYFOOD,MEAT,PORK,STR",0.0,48.0,0.0,124.0,14.0,0.0,0.0,28.35,71.0,6.76
BABYFOOD,"BABYFOOD,MEAT,HAM,STR",3.7,24.0,0.0,97.0,11.3,0.0,0.0,15.0,28.0,3.58
BABYFOOD,"BABYFOOD,MEAT,HAM,JUNIOR",3.7,29.0,0.0,97.0,11.3,0.0,0.0,28.35,71.0,3.591
BABYFOOD,"BABYFOOD,MEAT,LAMB,STR",0.85,36.0,0.0,87.0,14.07,0.0,0.0,21.51,28.0,3.23
BABYFOOD,"BABYFOOD,MEAT,LAMB,JUNIOR",0.0,38.0,0.0,112.0,15.2,0.0,0.0,28.35,71.0,4.84
BABYFOOD,"BABYFOOD,MEAT,CHICK,STR",0.1,61.0,0.0,130.0,13.7,0.0,0.0,15.0,28.0,7.51
BABYFOOD,"BABYFOOD,MEAT,CHICK,JR",0.0,59.0,0.0,146.0,14.0,0.0,0.0,15.0,28.0,9.13
BABYFOOD,"BABYFOOD,MEAT,CHICK STKS,JR",1.5,78.0,0.200000003,188.0,14.6,0.0,1.399999976,10.0,71.0,13.347
BABYFOOD,"BABYFOOD,MEAT,TURKEY,STR",1.4,58.0,0.0,111.0,11.5,0.0,0.0,15.0,28.0,5.766
BABYFOOD,"BABYFOOD,MEAT,TURKEY,JR",1.4,58.0,0.0,111.0,11.5,0.0,0.0,18.86,68.0,5.766
BABYFOOD,"BABYFOOD,MEAT,TURKEY STKS,JR",1.4,65.0,0.5,182.0,13.7,0.0,1.399999976,10.0,71.0,12.429000000000002
BABYFOOD,"BABYFOOD,MEAT,MEAT STKS,JR",1.1,70.0,0.200000003,184.0,13.4,0.0,0.800000012,10.0,71.0,13.89
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR",7.7,0.0,0.0,48.0,2.0,0.0,0.0,28.35,113.0,0.0
BABYFOOD,"BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR",8.0,0.0,0.0,48.0,2.1,0.0,0.0,28.35,170.0,0.0
BABYFOOD,"BABYFOOD,DINNER,BF LASAGNA,TODD",10.0,0.0,0.0,77.0,4.2,0.0,0.0,28.35,170.0,0.0
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR",9.45,7.0,1.200000048,61.0,2.36,0.0,2.089999914,16.0,28.0,1.273
BABYFOOD,"BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR",9.4,4.0,1.100000024,59.0,2.5,0.0,2.430000067,16.0,28.0,0.937
BABYFOOD,"BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU",16.3,7.0,0.10000000099999999,99.0,3.6,0.0,0.589999974,16.0,8.0,2.01
BABYFOOD,"BABYFOOD,DINNER,BF NOODLE,STR",8.18,8.0,1.299999952,63.0,2.44,0.0,1.419999957,16.0,28.0,2.019
BABYFOOD,"BABYFOOD,MACARONI&CHS,TODD",11.2,7.0,0.5,83.0,3.5,0.0,0.7900000209999999,28.35,0.0,2.4
BABYFOOD,"BABYFOOD,DINNER,BF&RICE,TODD",8.8,0.0,0.0,82.0,5.0,0.0,0.0,28.35,170.0,0.0
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR",11.42,5.0,1.100000024,68.0,2.57,0.0,2.720000029,16.0,28.0,1.225
BABYFOOD,"BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD",10.8,0.0,0.0,75.0,5.3,0.0,0.0,28.35,170.0,0.0
